Course_ID,Course_Code,Course_Name,Course_Description,Credit,Year,Semester,Is_Major_Elective
151,EE 4401,Electric Drive,"Development of electric drives, moment of electric drives, types of duties, electric braking, energy relation during starting and braking, calculation of motions of electric machines using analytical and graphical methods, calculations of motor ratings, important tracking machines, electric circuits and controls of traction machines, sample calculations, industrial applications of electric motors.",3,3,2,FALSE
152,EE 4518,"Electrical Power Generation, Transmission and Distribution","Load curve, diesel power plant, steam power plant; gas turbine power plant, combined cycle power plant, hydro power plant, nuclear power plant, renewable energy sources, type of substation, substation equipment, substation layout, lightning protection, grounding system.",3,3,2,FALSE
153,GE 1303,Science for Sustainable Future,"General science, scientificapproaches, understanding the interrelationships of the nature, identification and analysis of environmental problems, application and alternative solutions for preventing and solving the environmental problems.",2,3,2,FALSE
154,GE 2110,Human Civilizations and Global Citizens,"Development of human society, rise and fall of civilizations, achievements and heritages of Western and Eastern civilizations since ancient times in order to understand their roots; globalization impacts on modern societies; cross-cultural society.",2,3,2,FALSE
155,EE 4501,Power System Analysis,Transmission and distribution networks calculation; load flow; load flowcontrol; symmetrical short circuit analysis; unsymmetrical short circuit analysis; power system stability; economic operation.,3,4,1,FALSE
156,EE 4503,Electrical Systems Design,"Basic design concepts, codes and standards, power distribution schemes, electrical wires and cables, raceways; electrical equipment and apparatus, load calculation, power factor improvement and capacitor bank circuit design, lighting and appliances circuit design, motor circuit design; load, feeder, and main schedule, emergency power system, short circuit calculation, grounding system for electrical installation.",3,4,1,FALSE
157,EE 4506,High Voltage Engineering,"Uses of high voltage and over voltage in power systems; generation of high voltage for testing; high voltage measurement techniques; electric fieldstress and insulation techniques, breakdown of gas; liquid and solid dielectric; high voltage testing techniques; insulation coordination.",3,4,1,FALSE
158,EE 4511,Renewable Energy,,3,4,1,FALSE
159,EE 4901,Electrical and Computer Engineering Project I,,1,4,1,FALSE
160,EE 4505,Power System Protection,Fundamental of protection practices; instrument transformer and transducers; protection devices and protection systems; overcurrent and earth fault protection; differential protection; transmission line protection by distance relaying; transmission line protection by pilot relaying; motor protection; transformer protection; generator protection; bus zone protection; introduction to digital protection devices.,3,4,2,FALSE
161,EE 4512,Smart Grid,,3,4,2,FALSE
162,EE 4705,Power Electronics,"Characteristics of power electronics devices, power diode, thyristors, power bipolar; MOSFET, IGBT, characteristics of magnetic material, power transformer core, ferrite core, iron powder core, converters, ac to dc converter, dc to dc converter, ac to ac converter, dc to ac converter.",3,4,2,FALSE
163,EE 4706,Power Electronics Laboratory,Experiments to be done according to EE 4705 Power Electronics,1,4,2,FALSE
164,EE 4902,Electrical and Computer Engineering Project II,,2,4,2,FALSE
165,ELE 1001,Communicative English I,,3,1,1,FALSE
166,BG 1204,Calculus I,"Function, limits, continuity, differentiation, integration, introduction of numerical computation, surface integration, Fourier series .",3,1,1,FALSE
167,BG 1211,Physics I,"Mechanics of particles and rigid bodies, properties of matter, fluid mechanics, heat, vibrations, and waves .",3,1,1,FALSE
168,BG 1212,Physics Laboratory I,Experiments to be done according to BG 1211 Physics I .,1,1,1,FALSE
169,BG 1221,Computer Programming,"Computer concepts, hardware and software interaction, current programming language, programming practices .",3,1,1,FALSE
170,BG 2208,Discrete Mathematics,"Teachings of major world religions, the role of conscience, self-development in the moral arena, building self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right and refraining from the wrong, attaining a more fulfilling life.",3,1,1,FALSE
171,ME 1114,Engineering Workshop,"Workshop on the use of the machine tools such as a lathe or milling machine, cutting tools, and drilling tools, for milling, cutting, drilling, and shaping metal materials. filing, grinding, and welding of metals. Carpentry is included. Students are required to make workpieces of metal and wood. A full report for each work is required.",1,1,1,FALSE
172,GE 1410,Thai for Professional Communication (for Thai students),,2,1,1,FALSE
173,GE 1411,Thai Language for Multicultural Communication (for non-Thai students),,2,1,1,FALSE
174,GE 1412,Introductory Thai Usage (for Thai students from international program),,2,1,1,FALSE
175,ELE 1002,Communicative English II,,3,1,2,FALSE
176,BG 1205,Calculus II,"Space vectors, matrices and determinants, linear analytic geometry, differential calculus of multivariable functions, vector analysis, linear integrals, surface integral and volume integrals.",3,1,2,FALSE
177,BG 1213,Physics II,Elements of electromagnetism; alternating current (A. C.) circuits; fundamental electronics; optics; modern physics.,3,1,2,FALSE
178,BG 1214,Physics Laboratory II,Experiments to be done according to BG 1213 Physics II,1,1,2,FALSE
179,CE 2102,Data Structures and Algorithms,"Various type of data structures, e.g., array, string, stack, queue, dequeue, tree, binary tree, B-tree, AVL – tree; data searching and sorting, storage allocation; coding; table handling.",3,1,2,FALSE
180,CE 2703,Introduction to Computer Systems,"Digital computer organization, memory unit, input-output device units, A/D conversion, D/A conversion, computer interface, procedure control, multiutilization, multiprogramming, multiprocessing, on-line computer systems, processing program, system design.",3,1,2,FALSE
181,ME 1113,Engineering Drawing,"Descriptive geometry, orthographic, isometric and oblique drawings, drawing of mechanical parts, detailed drawing and assembly drawings, allowable tolerance, and surface details, applied geometry, dimensions and notes, orthographic projections, working drawing, auxiliary views, true length, grade and bearings of a line, true shape of a plane surface, perspective, sectional and developed drawings.",3,1,2,FALSE
182,ELE 2000,Academic English,,3,2,1,FALSE
183,BBA 1004,Essential Marketing for Entrepreneurs,,2,2,1,FALSE
184,BG 2207,Engineering Mathematics,"First-order and higher-order ordinary differential equations, difference equations, functions of complex variable and their applications in engineering.",3,2,1,FALSE
185,CE 2103,Object-Oriented Programming,"Object-oriented software coding paradigm and implementation through hands on experience using a cross platform compiler. Basic syntax, data structures, operators, loops, functions, arrays, strings, pointers. Class design, Object instances, data encapsulation (public, private, protected), operator overloading, pass by reference/value, use of inheritance and interfaces, using polymorphism with up/down casting, applying abstraction in the design process separating code into interface and implementation.",3,2,1,FALSE
186,EE 2201,Electric Circuits,"Circuit elements, node and mesh analysis, circuit theorems, resistance, inductance, and capacitance, first and second o der circuits, phasor diagram, AC power circuits, three- phase systems.",3,2,1,FALSE
187,EE 2202,Electric Circuits Laboratory,Laboratory works to be done according to EE 2201 Electric Circuits.,1,2,1,FALSE
188,EE 2605,Engineering Electronics,"Semiconductor devices; current-voltage and frequency characteristics; analysis and design of diode circuits; analysis and design of BJT, MOS, CMOS and BiCMOS transistor circuits, operational amplifier and its applications, power supply module.",3,2,1,FALSE
189,EE 2606,Engineering Electronics Laboratory,Laboratory works to be done according to EE 2605 Engineering Electronics.,1,2,1,FALSE
190,ELE 2001,Advanced Academic English,,3,2,2,FALSE
191,BBA 1005,Essential Finance for Entrepreneurs,,2,2,2,FALSE
192,BBA 1006,Essential Economics for Entrepreneurs,,2,2,2,FALSE
193,BG 2212,Applied Statistics,"Sets and probability, random variables, probability distribution, continuous and discrete models, parameters approximation, reliability range, hypothesis tests, regression and linear correlation.",3,2,2,FALSE
194,CE 2104,Software Design and Development,"Software design principles and practices; design patterns; software reuse; testing; event driven programming 
and concurrency; graphical user interface design and development; Team development. ",3,2,2,FALSE
195,CE 2704,Digital Logic Design," Number system; logic combination: logic systems and Boolean algebra, comparator; Karnaugh map, 
tabulation method; combination logic circuit: adder, subtract, multiple output circuits, encoder, decoder, 
multiplexer, demultiplexer, ROMD, sequential circuits: synchronous and asynchronous circuits, flip-flops
 counter circuits, registers. ",3,2,2,FALSE
196,CE 2705,Digital Logic Design Laboratory,"Experiments on the designs of Gate, digital and switching circuits; interconnection of logic modules, counter, control circuits, arithmetic units, memories and small computer circuits.",1,2,2,FALSE
197,GE 1303,Science for Sustainable Future,"General science, scientificapproaches, understanding the interrelationships of the nature, identification and analysis of environmental problems, application and alternative solutions for preventing and solving the environmental problems.",2,2,2,FALSE
198,BBA 1007,Data Analytics for Entrepreneurs,,3,3,1,FALSE
199,CE 2709,Computer Architecture,"Architecture of a general-purpose computer, design methodology, basic concepts of computer control, memory hierarchies, input-output organization, advanced computer architecture.",3,3,1,FALSE
200,CE 3103,Computer Operating Systems,"Components and types of operating systems, command interpreter, management of main storage, file storage, data management, I/O management, device management; resource protecting; freestanding systems, disk operating systems, real-time operating systems, multiprocessor operating systems.",3,3,1,FALSE
201,CE 3109,Database Management Systems,"Models and theories of database design: hierarchical, network, and relational/non-relational models; data description languages and relational query languages; query facilities, data integrity and file security; related database technologies such as XML, JSON, and noSQL databases.",3,3,1,FALSE
202,CE 4221,Network Applications and Technology,"Internet/Intranet technologies, Web technologies, protocols, and applications including HTML, JavaScripts, modern scripting languages OGL, Java, Web Services, REST, XML, JSON, relational and nonrelational databases, security, Internet engineering effort, parameters of the technical Internet/ Intranet environment, contributing technologies of today’s Internet/Intranet, emerging Internet’s applications and technologies.",3,3,1,FALSE
203,EE 3705,Microprocessors and Microcontrollers,"Fundamental of microprocessors and microcontrollers : architecture, hardware, software, and interfacing.",3,3,1,FALSE
204,CE 3104,Software Engineering,Software design techniques; problem definition; function design; modular program; program design; hierarchy input and output process; detailed design; decision tables; pseudo code; debugging test data; software reliability; software maintenance; design and development of large scale software.,3,3,2,FALSE
205,CE 4224,Telecommunication Network Laboratory,"Setup and test LAN network (Ethernet), install and setup the Network Operating System, window NT, Novell NetWare, and UNIX, including network management system, network printer, filetransfer etc. Setup and operate Internet Server and Client.",1,3,2,FALSE
206,CE 3222,Computer Networks,"Introduction to data communications and networks; layered network architecture; point-to-point protocols and links; delay models in data networks; medium-access control protocols; flowcontrol; error control; local area network; switching network; routing in data networks; network security; cloud network, architecture and system; standards.",3,3,2,FALSE
207,GE 2110,Human Civilization and Global Citizens,"Development of human society, rise and fall of civilizations, achievements and heritages of Western and Eastern civilizations since ancient times in order to understand their roots; globalization impacts on modern societies; cross-cultural society.",2,3,2,FALSE
208,GE 2202,Ethics,"Teachings of major world religions, the role of conscience, self-development in the moral arena, building self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right and refraining from the wrong, attaining a more fulfilling life.",3,3,2,FALSE
209,CE 4225,Computer and Network Security,"Security technique for both network and database. Cryptography technique; concept, scheme, secret key; public key, Hash algorithm, authentication and digital signature. Firewalls, World Wide Web security, and Internet security protocol are discussed in details in both theory and practice.",3,4,1,FALSE
210,CE 4715,Artificial Intelligence I,"Intelligent Agents, Problem solving by searching, DFS, BFS, A* search, Greedy search, proposition logic, firstorder logic, forward chaining backward chaining, basic probability and Bayesian logic, Fuzzy logic, Decision networks, learning: Supervised learning, theory of learning, neural networks, support vector machines, machine language translation and visual perception.",3,4,1,FALSE
211,CE 4901,Computer Engineering Project I,,1,4,1,FALSE
212,CE 4902,Computer Engineering Project II,,2,4,2,FALSE
213,ELE 1001,Communicative English I,,3,1,1,FALSE
214,BG 1204,Calculus I,"Function, limits, continuity, differentiation, integration, introduction of numerical computation, surface integration, Fourier series .",3,1,1,FALSE
215,BG 1211,Physics I,"Mechanics of particles and rigid bodies, properties of matter, fluid mechanics, heat, vibrations, and waves .",3,1,1,FALSE
216,BG 1212,Physics Laboratory I,Experiments to be done according to BG 1211 Physics I .,1,1,1,FALSE
217,BG 1221,Computer Programming,"Computer concepts, hardware and software interaction, current programming language, programming practices .",3,1,1,FALSE
218,ME 1113,Engineering Drawing,"Descriptive geometry, orthographic, isometric and oblique drawings, drawing of mechanical parts, detailed drawing and assembly drawings, allowable tolerance, and surface details, applied geometry, dimensions and notes, orthographic projections, working drawing, auxiliary views, true length, grade and bearings of a line, true shape of a plane surface, perspective, sectional and developed drawings.",3,1,1,FALSE
219,ME 1114,Engineering Workshop,"Workshop on the use of the machine tools such as a lathe or milling machine, cutting tools, and drilling tools, for milling, cutting, drilling, and shaping metal materials. filing, grinding, and welding of metals. Carpentry is included. Students are required to make workpieces of metal and wood. A full report for each work is required.",1,1,1,FALSE
220,GE 1410,Thai for Professional Communication (for Thai students),,2,1,1,FALSE
221,GE 1411,Thai Language for Multicultural Communication (for non-Thai students),,2,1,1,FALSE
222,GE 1412,Introductory Thai Usage (for Thai students from international program),,2,1,1,FALSE
223,ELE 1002,Communicative English II,,3,1,2,FALSE
224,BG 0008,General Chemistry Laboratory,Experiments to be done according to BG 1108 General Chemistry,1,1,2,FALSE
225,BG 1108,General Chemistry,"Stoichiometry and basis of the atomic theory; properties of gas, liquid, solid and solution; chemical equilibrium; ionic equilibrium; chemical kinetic; electronic structures of atoms; chemical bonds; periodic properties; representative elements; nonmetal and transition metals.",3,1,2,FALSE
226,BG 1205,Calculus II,"Space vectors, matrices and determinants, linear analytic geometry, differential calculus of multivariable functions, vector analysis, linear integrals, surface integral and volume integrals.",3,1,2,FALSE
227,BG 1213,Physics II,Elements of electromagnetism; alternating current (A. C.) circuits; fundamental electronics; optics; modern physics.,3,1,2,FALSE
228,BG 1214,Physics Laboratory II,Experiments to be done according to BG 1213 Physics II,1,1,2,FALSE
229,BG 2208,Discrete Mathematics,"Teachings of major world religions, the role of conscience, self-development in the moral arena, building self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right and refraining from the wrong, attaining a more fulfilling life.",3,1,2,FALSE
230,IE 1110,Engineering Materials,"Study of relationship between structures, properties, production processes and applications of main groups of engineering materials i.e. metals, polymers, ceramics and composites, phase equilibrium diagrams and their interpretation, mechanical properties and materials degradation.",3,1,2,FALSE
231,ELE 2000,Academic English,,3,2,1,FALSE
232,BG 2212,Applied Statistics,"Sets and probability, random variables, probability distribution, continuous and discrete models, parameters approximation, reliability range, hypothesis tests, regression and linear correlation.",3,2,1,FALSE
233,CE 2704,Digital Logic Design," Number system; logic combination: logic systems and Boolean algebra, comparator; Karnaugh map, 
tabulation method; combination logic circuit: adder, subtract, multiple output circuits, encoder, decoder, 
multiplexer, demultiplexer, ROMD, sequential circuits: synchronous and asynchronous circuits, flip-flops
 counter circuits, registers. ",3,2,1,FALSE
234,CE 2705,Digital Logic Design Laboratory,"Experiments on the designs of Gate, digital and switching circuits; interconnection of logic modules, counter, control circuits, arithmetic units, memories and small computer circuits.",1,2,1,FALSE
235,EE 2201,Electric Circuits,"Circuit elements, node and mesh analysis, circuit theorems, resistance, inductance, and capacitance, first and second o der circuits, phasor diagram, AC power circuits, three- phase systems.",3,2,1,FALSE
236,EE 2202,Electric Circuits Laboratory,Laboratory works to be done according to EE 2201 Electric Circuits.,1,2,1,FALSE
237,MCE 2101,Fundamentals of Mechatronics Engineering,"Introduction to Mechatronics and the interaction between mechanical actuation and electronic control,
early design evolution, evolution of engineering design, using of sensors in the system, case studies: simple
subsystem integration; modern technologies, control, sensors, power supplies and controlled drives,
Programmable Logic Control (PLC) as a controller for Mechatronics system, The need for a systems
approach to Engineering Design, Control and Embedded Intelligence or PLC. ",3,2,1,FALSE
238,MCE 2102,Mechatronics Engineering Laboratory I,"Experiments covering basic sensors such as inductive, capacitive, magnetic, photoelectric and ultra sonic. Programmable Logic Controllers is introduced and experimental covering Ladder (LD), Structure Text (ST), Function Block Diagram (FBD) and Sequential Flow Chart (SFC) languages.",1,2,1,FALSE
239,ME 2211,Engineering Mechanics I,"Force systems, resultant, equilibrium, fluid statics, kinematics and kinetics of particles and rigid bodies, Newton’s second law of motion, work and energy, impulse and momentum.",3,2,1,FALSE
240,ELE 2001,Advanced Academic English,,3,2,2,FALSE
241,CE 2102,Data Structures and Algorithms,"Various type of data structures, e.g., array, string, stack, queue, dequeue, tree, binary tree, B-tree, AVL – tree; data searching and sorting, storage allocation; coding; table handling.",3,2,2,FALSE
242,BG 2207,Engineering Mathematics,"First-order and higher-order ordinary differential equations, difference equations, functions of complex variable and their applications in engineering.",3,2,2,FALSE
243,EE 2410,Electrical Machine Systems,Magnetic circuits; principles of electromechanical energy conversion; energy and coenergy in magnetic circuits; single phase and three phase transformers; principles of rotating machines; DC machines; AC machines construction; synchronous machines; single phase and three phase induction machines; protection of machines.,3,2,2,FALSE
244,EE 2411,Electrical Machine Systems Laboratory,Laboratory works to be done according to EE 3402 Electrical Machines.,1,2,2,FALSE
245,EE 2605,Engineering Electronics,"Semiconductor devices; current-voltage and frequency characteristics; analysis and design of diode circuits; analysis and design of BJT, MOS, CMOS and BiCMOS transistor circuits, operational amplifier and its applications, power supply module.",3,2,2,FALSE
246,EE 2606,Engineering Electronics Laboratory,Laboratory works to be done according to EE 2605 Engineering Electronics.,1,2,2,FALSE
247,ME 2220,Engineering Mechanics II,"Structure analysis; principle of virtual work; stability; kinematics of rigid body; plane motion of rigid bodies 
(forces and accelerations, energy and momentum method); mechanical vibrations",3,2,2,FALSE
248,BBA 1004,Essential Marketing for Entrepreneurs,,2,3,1,FALSE
249,BBA 1005,Essential Finance for Entrepreneurs,,2,3,1,FALSE
250,BBA 1006,Essential Economics for Entrepreneurs,,2,3,1,FALSE
251,CE 4715,Artificial Intelligence I,"Intelligent Agents, Problem solving by searching, DFS, BFS, A* search, Greedy search, proposition logic, firstorder logic, forward chaining backward chaining, basic probability and Bayesian logic, Fuzzy logic, Decision networks, learning: Supervised learning, theory of learning, neural networks, support vector machines, machine language translation and visual perception.",3,3,1,FALSE
252,EE 3705,Microprocessors and Microcontrollers,"Fundamental of microprocessors and microcontrollers : architecture, hardware, software, and interfacing.",3,3,1,FALSE
253,ME 3120,Mechanics of Machinery,"Velocity and acceleration analysis; kinematics and dynamics force analysis of mechanical devices, linkages, gear trains and mechanical systems; balancing of rotating and reciprocating mass.",3,3,1,FALSE
254,ME 3311,Pneumatic and Hydraulic Systems,"Fundamentals of Fluid Mechanics, fluidproperties, Pascal’s law, flowgoverning equations (continuity equation, conservation of energy or Bernoulli’s equation, Torricelli’s equation), basic flow in pipes, pumps, pipe design and selection, hydraulics design and analysis, pneumatic systems, compressors, receivers, valves, flow though orifices",3,3,1,FALSE
255,ME 3312,Pneumatic and Hydraulic Laboratory,Laboratory works to be done according to ME 3311 Pneumatic and Hydraulic Systems,1,3,1,FALSE
256,BBA 1007,Data Analytics for Entrepreneurs,,3,3,2,FALSE
257,CE 4716,Artificial Intelligence II,,3,3,2,FALSE
258,EE 3406,Control Systems,"Fundamental concepts associated with the fieldof maritime robotics, maritime robots used for 
oceanography, offshore exploitation and disaster response. study of vehicle design, mapping, path 
planning, navigation, and collision avoidance. ",3,3,2,FALSE
259,GE 2110,Human Civilizations and Global Citizens,"Development of human society, rise and fall of civilizations, achievements and heritages of Western and Eastern civilizations since ancient times in order to understand their roots; globalization impacts on modern societies; cross-cultural society.",2,3,2,FALSE
260,ME 3110,Mechanics of Materials,"Forces and stresses; stresses and strains relationship; stresses in  beams, shear force and bending moment 
diagrams; deflectionof  beams, torsion; buckling of columns; Mohr’s circle and combined  stresses; failure 
criterion. ",3,3,2,FALSE
261,GE 2202,Ethics,"Teachings of major world religions, the role of conscience, self-development in the moral arena, building self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right and refraining from the wrong, attaining a more fulfilling life.",3,4,1,FALSE
262,MCE 4101,Introduction to Robotics,"Introduction to Robotic systems, spatial descriptions, Kinematics, Jacobians, Robot dynamics, Trajectory generation, Position and force control, Image processing and analysis.",3,4,1,FALSE
263,MCE 4103,Mechatronics Engineering Laboratory II,"Experiments covering modular Mechatronics system (mMs). In these stations, PLC is used to control the sequential operation including sensors and actuators. Control methods: On-Off, Three-modes, P, PI, PID are studies along with temperature process control experiment.",1,4,1,FALSE
264,MCE 4911,Mechatronics Engineering and Artificial Intelligence Project I,,1,4,1,FALSE
265,GE 1303,Science for Sustainable Future,"General science, scientificapproaches, understanding the interrelationships of the nature, identification and analysis of environmental problems, application and alternative solutions for preventing and solving the environmental problems.",2,4,2,FALSE
266,MCE 4104,Automation Technology 4.0,,3,4,2,FALSE
267,MCE 4201,Advanced Robotics and Control,,3,4,2,FALSE
268,MCE 4912,Mechatronics Engineering and Artificial Intelligence Project II,,2,4,2,FALSE
269,AE 2402,English for Aviation,,3,,,TRUE
270,AE 2501,Maintenance English I,,1,,,TRUE
271,AE 2502,Maintenance English II,,1,,,TRUE
272,AE 3401,Avionics,,3,,,TRUE
273,AE 4700,Commercial Pilot License Instructor,,3,,,TRUE
274,AE 4701,Commercial Pilot License Instructor: Flight I,,2,,,TRUE
275,AE 4702,Commercial Pilot License Instructor: Flight II,,2,,,TRUE
276,AE 4904,Special Problems in Aeronautic Engineering I,,3,,,TRUE
277,AE 4905,Special Problems in Aeronautic Engineering II,,2,,,TRUE
278,AE 4906,Special Problems in Aeronautic Engineering III,,1,,,TRUE
279,AE 4930,Advanced Topics in Aeronautic Engineering I,,3,,,TRUE
280,AE 4931,Advanced Topics in Aeronautic Engineering II,,2,,,TRUE
281,AE 4932,Advanced Topics in Aeronautic Engineering III,,1,,,TRUE
282,CE 2703,Introduction to Computer Systems,,3,,,TRUE
283,CE 2704,Digital Logic Design,,3,,,TRUE
284,CE 2705,Digital Logic Design Laboratory,,1,,,TRUE
285,CE 4227,Mobile and Wireless Networks,,3,,,TRUE
286,EE 2401,Electromechanical Energy Conversion,,3,,,TRUE
287,EE 2402,Electromechanical Energy Conversion Laboratory,,1,,,TRUE
288,EE 3301,Electromagnetic Fields,,3,,,TRUE
289,EE 3404,Feedback Control Systems,,3,,,TRUE
290,EE 3601,Electronic Circuit Design,,3,,,TRUE
291,EE 3602,Electronic Circuit Design Laboratory,,1,,,TRUE
292,EE 4305,Digital Signal Processing,,3,,,TRUE
293,EE 4403,Basic Mechatronics,,3,,,TRUE
294,EE 4503,Electrical Systems Design,,3,,,TRUE
295,EE 4602,Industrial Instrumentation and Control,,3,,,TRUE
296,TE 4201,Communication Electronics,,3,,,TRUE
297,TE 4202,Communication Electronics Laboratory,,1,,,TRUE
298,AE 2402,English for Aviation,,3,,,TRUE
299,AE 2501,Maintenance English I,,1,,,TRUE
300,AE 2502,Maintenance English II,,1,,,TRUE
301,AE 3401,Avionics,,3,,,TRUE
302,AE 4700,Commercial Pilot License Instructor,,3,,,TRUE
303,AE 4701,Commercial Pilot License Instructor: Flight I,,2,,,TRUE
304,AE 4702,Commercial Pilot License Instructor: Flight II,,2,,,TRUE
305,AE 4904,Special Problems in Aeronautic Engineering I,,3,,,TRUE
306,AE 4905,Special Problems in Aeronautic Engineering II,,2,,,TRUE
307,AE 4906,Special Problems in Aeronautic Engineering III,,1,,,TRUE
308,AE 4930,Advanced Topics in Aeronautic Engineering I,,3,,,TRUE
309,AE 4931,Advanced Topics in Aeronautic Engineering II,,2,,,TRUE
310,AE 4932,Advanced Topics in Aeronautic Engineering III,,1,,,TRUE
311,CE 2703,Introduction to Computer Systems,,3,,,TRUE
312,CE 2704,Digital Logic Design,,3,,,TRUE
313,CE 2705,Digital Logic Design Laboratory,,1,,,TRUE
314,CE 4227,Mobile and Wireless Networks,,3,,,TRUE
315,EE 2401,Electromechanical Energy Conversion,,3,,,TRUE
316,EE 2402,Electromechanical Energy Conversion Laboratory,,1,,,TRUE
317,EE 3301,Electromagnetic Fields,,3,,,TRUE
318,EE 3404,Feedback Control Systems,,3,,,TRUE
319,EE 3601,Electronic Circuit Design,,3,,,TRUE
320,EE 3602,Electronic Circuit Design Laboratory,,1,,,TRUE
321,EE 4305,Digital Signal Processing,,3,,,TRUE
322,EE 4403,Basic Mechatronics,,3,,,TRUE
323,EE 4503,Electrical Systems Design,,3,,,TRUE
324,EE 4602,Industrial Instrumentation and Control,,3,,,TRUE
325,TE 4201,Communication Electronics,,3,,,TRUE
326,TE 4202,Communication Electronics Laboratory,,1,,,TRUE
327,EE 3601,Electronic Circuit Design,,3,,,TRUE
328,EE 3602,Electronic Circuit Design Laboratory,,1,,,TRUE
329,EE 4403,Basic Mechatronics,,-,,,TRUE
330,MCE 3220,Fundamentals of Electric Vehicles,,3,,,TRUE
331,MCE 4104,Automation Technology 4.0,,3,,,TRUE
332,CE 3003,Mobile Applications Development,,3,,,TRUE
333,CE 3106,Programming Languages,,3,,,TRUE
334,CE 3111,Design and Analysis of Algorithms,,3,,,TRUE
335,CE 4201,Image Processing and Computer Vision,,3,,,TRUE
336,CE 4207,System and Network Programming,,3,,,TRUE
337,CE 4223,Advanced Computer Networks,,3,,,TRUE
338,CE 4226,Network Systems Analysis and Design,,3,,,TRUE
339,CE 4227,Mobile and Wireless Networks,,3,,,TRUE
340,CE 4310,Introduction to Financial Technology,,3,,,TRUE
341,EE 4305,Digital Signal Processing,,3,,,TRUE
342,TE 3102,Communication Networks and Transmission Lines,,3,,,TRUE
343,TE 3301,Radio Wave Propagation,,3,,,TRUE
344,TE 4111,Antenna Engineering,,3,,,TRUE
345,TE 4112,Optical Communications,,3,,,TRUE
346,TE 4113,Digital Communications,,3,,,TRUE
347,TE 4201,Communication Electronics,,3,,,TRUE
348,TE 4202,Communication Electronics Laboratory,,1,,,TRUE
349,TE 4301,Principle of Telecommunications Policies,,3,,,TRUE
350,CE 4114,Data Mining,,3,,,TRUE
351,CE 4115,Fundamentals of Machine Learning,,3,,,TRUE
352,CE 4229,Introduction to Cloud Computing,,3,,,TRUE
353,CE 4301,Fundamental of Internet of Things,,3,,,TRUE
354,CE 4303,Introduction to Big-Data,,3,,,TRUE
355,CE 4304,Programming for Data Analytics,,3,,,TRUE
356,CE 4716,Artificial Intelligence II,,3,,,TRUE
357,EE 3704,Embedded Systems,,3,,,TRUE
358,CE 3901,Digital Audio/Video Coding Technique,,3,,,TRUE
359,CE 4801,Computer Graphics Programming,,3,,,TRUE
360,CE 4802,Fundamentals of Virtual Reality,,3,,,TRUE
361,CE 4803,Fundamentals of Game Development,,3,,,TRUE
362,CE 4804,Introduction to GPU Computing,,3,,,TRUE
363,CE 4810,Advanced Topics in Game Development,,3,,,TRUE
364,CE 4811,Special Problems in Game Development,,3,,,TRUE
365,CDI 3211,Game Design,,3,,,TRUE
366,GDC 3107,User Interface Design,,3,,,TRUE
367,BEN 3303,Entrepreneurial Leadership,,3,,,TRUE
368,BEN 3304,Project Management,,3,,,TRUE
369,BEN 4213,Digital Entrepreneurship,,3,,,TRUE
370,BEN 4315,Family Business Management,,3,,,TRUE
371,CE 4108,Operations Research,,3,,,TRUE
372,CE 4109,Information Systems Analysis and Design,,3,,,TRUE
373,IE 4201,Engineering Management,,3,,,TRUE
374,IE 4203,Engineering Economics,,3,,,TRUE
375,CE 4903,Advanced Topics in Computer Engineering,,3,,,TRUE
376,CE 4904,Special Problems in Computer Engineering,,3,,,TRUE
377,CE 4907,Computer Engineering Industrial Training,,3,,,TRUE
378,EE 4903,Advanced Topics in Electrical and/or Electronic Engineering,,3,,,TRUE
379,EE 4904,Special Problems in Electrical and/or Electronic Engineering,,3,,,TRUE
380,EE 4907,Electrical Engineering Industrial Training,,3,,,TRUE
381,CE 3105,Microprocessor Programming Using Assembly & C,"Computer architecture, operation and instruction; programming languages; assembly language programming; arithmetic programs; loops and arrays; mnemonic operations; subroutines; characteristic and operation of assemblers, interfacing assembly with the high-level language (C language), using C to interact with hardware.",3,,,TRUE
382,CE 3106,Programming Languages,Definitionof language including specificationof syntax and semantics; programming techniques of selected modern languages; language structures; data types; run-time environment.,3,,,TRUE
383,CE 3111,Design and Analysis of Algorithms,"Techniques of design and analysis of algorithms for internal and external sorting, searching and margins; NP-hard problems.",3,,,TRUE
384,CE 3707,Microprocessor Systems Design,"Microprocessor architecture; control unit; memory; input-output units; microprocessor construction; registers; index and stack pointers; addressing modes; interfacing techniques (RAM, ROM, …); micro processor programming.",1,,,TRUE
385,CE 4110,Compilers,"Programming language structures; compiling systems, lexical analysis, syntax and semantics analysis, parsors, symbol table, error diagnostics and recovery, code generation, examples of typical compilers.",3,,,TRUE
386,CE 4201,Image Processing and Computer Vision,"Introduction to digital image processing including such topics as digital image representation, analysis of images represented in different formats, edge detection, image segmentation, object recognition, motion analysis.",3,,,TRUE
387,CE 4713,Advanced Computer Architecture,"Microcomputer, minicomputer and mainframe architectures; computer systems organizations pipeline processors, stack, multi-processors.",3,,,TRUE
